sample_id	classification_label
i150	u
i693	m
i663	u
i1203	m
i1577	u
i1003	m
i135	u
i1691	m
i841	u
i1975	m
i2123	m
i2027	m
i430	m
i2149	u
i2276	u
i1491	m
i266	u
i1736	m
i449	m
i995	u
i932	u
i1602	m
i1795	u
i277	m
i251	m
i1182	m
i1626	m
i1145	u
i824	u
i1312	m
i1087	m
i621	u
i1401	u
i1321	u
i509	m
i1814	m
i1854	u
i1022	m
i654	m
i6	u
i280	u
i821	u
i1356	u
i2258	u
i2262	u
i1428	m
i1308	u
i2049	u
i284	u
i137	u
i1652	u
i2189	m
i268	m
i2006	u
i928	u
i1632	u
i953	u
i547	m
i546	m
i1049	m
i2268	m
i1133	m
i1620	u
i1578	u
i2069	m
i519	u
i809	u
i1125	u
i1259	m
i1295	m
i1086	m
i2176	m
i2242	u
i357	u
i1941	m
i2157	m
i942	m
i1807	u
i944	m
i372	u
i420	u
i62	m
i1808	u
i2259	u
i707	m
i1109	u
i64	u
i1150	m
i648	u
i1380	u
i1338	u
i185	u
i2167	u
i1008	m
i1898	m
i588	u
i241	m
i566	u
i269	m
i303	m
